Applied migrations:
1781189300_gaf_planilla_initial at 2026-06-11T14:57:22.090Z
1781193233_fix_auto_green_status at 2026-06-11T15:54:58.990Z
1781200000_add_event_type_rules at 2026-06-11T19:26:53.676Z
1781204800_add_doc_option_to_rules at 2026-06-11T20:49:36.443Z
1781208060_reclassify_tardiness_rules at 2026-06-11T21:32:11.697Z
1781272800_add_classification_config at 2026-06-12T14:06:07.489Z
1781274000_seed_event_type_rules_and_config at 2026-06-12T14:16:36.052Z
1781274500_fix_pay_impacts_and_holiday at 2026-06-12T14:19:17.813Z
1781274600_fix_feriado_rule_and_pay_impacts at 2026-06-12T14:20:58.657Z
1781274800_cleanup_obsolete_config_keys at 2026-06-12T14:32:51.317Z
1781275000_retroactive_reclassify_all_periods at 2026-06-12T14:36:44.539Z
1781275100_import_excel_operator_resolved at 2026-06-12T14:52:23.209Z
1781803200_fix_directory_sync_emails_and_duplicates at 2026-08-07T16:42:18.972Z
1781803300_add_missing_name_aliases at 2026-08-10T21:01:02.655Z
1781803400_fix_monday_directory_config at 2026-08-11T20:26:33.716Z
1781803500_create_monday_mirror_tables at 2026-08-18T18:37:17.471Z
1781803600_seed_monday_config_keys at 2026-08-18T18:58:57.553Z
1781803700_revive_pto_tables at 2026-08-18T19:01:07.320Z
1781803800_add_legal_name_aliases at 2026-08-18T20:50:51.558Z
1781803900_seed_pto_from_excel at 2026-08-19T15:28:39.399Z
1781804000_add_directory_group_config at 2026-08-19T15:50:21.776Z
1781804100_link_excel_approvals_to_monday at 2026-08-19T20:26:31.794Z
1781900000_add_leave_type_to_pto_approvals at 2026-08-20T13:57:05.468Z
1781900100_v_attendance_daily_honours_work_days at 2026-08-25T16:35:06.583Z
1781900200_soft_delete_phantom_offday_rows_q2_aug at 2026-08-25T20:07:55.112Z
1781900300_v_attendance_daily_excludes_deleted at 2026-08-26T14:50:45.829Z
1781986500_seed_form_documentation_options at 2026-08-27T19:46:47.066Z
1781986600_soft_delete_offday_rows_q2_aug_2026 at 2026-08-27T20:23:20.103Z
